protein,contrast,cohort,beta,se,source_p,source_q,n_case,n_reference,source_table,availability,specimen,scale,adjustment,source_url,verification_date,normal_ci_low,normal_ci_high,interval_method
CD38,GBS versus HC,Replication,1.18,0.447,0.0389,0.0738,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.30389609891059577,2.056103901089404,Normal approximation from printed SE. Source P and q retained separately.
IL3RA,GBS versus HC,Discovery,0.183,0.0982,0.0867,0.173,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.00946846328183329,0.37546846328183325,Normal approximation from printed SE. Source P and q retained separately.
IL3RA,GBS versus HC,Replication,,,,,6,6,4B,NA in source due to call rate below 60%,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,,,Normal approximation from printed SE. Source P and q retained separately.
IL6,GBS versus HC,Discovery,0.37,0.514,0.485,0.547,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.6374214880535879,1.3774214880535878,Normal approximation from printed SE. Source P and q retained separately.
IL6,GBS versus HC,Replication,1.89,0.427,0.0031,0.0194,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,1.0530953786013968,2.726904621398603,Normal approximation from printed SE. Source P and q retained separately.
ITGAM,GBS versus HC,Discovery,,,,,6,20,4B,NA in source due to call rate below 60%,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,,,Normal approximation from printed SE. Source P and q retained separately.
ITGAM,GBS versus HC,Replication,1.15,0.351,0.0136,0.0429,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.462052641426441,1.8379473585735588,Normal approximation from printed SE. Source P and q retained separately.
CD5,GBS versus HC,Discovery,-0.0882,0.126,0.497,0.547,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.3351554620520468,0.15875546205204683,Normal approximation from printed SE. Source P and q retained separately.
CD5,GBS versus HC,Replication,1.51,0.514,0.0218,0.046,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.5025785119464121,2.517421488053588,Normal approximation from printed SE. Source P and q retained separately.
IL8,GBS versus HC,Discovery,1.66,0.415,0.0015,0.0163,6,20,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.8466149464158775,2.4733850535841224,Normal approximation from printed SE. Source P and q retained separately.
IL8,GBS versus HC,Replication,2.62,0.462,0.0008,0.0071,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,1.714496639142495,3.5255033608575053,Normal approximation from printed SE. Source P and q retained separately.
IL8,GBS versus CIDP,Replication,1.71,0.419,0.0046,0.0291,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.8887750904777173,2.5312249095222827,Normal approximation from printed SE. Source P and q retained separately.
IL8,GBS versus NIP,Replication,2.96,0.837,0.0167,0.0444,6,4,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,1.3195101449399749,4.600489855060025,Normal approximation from printed SE. Source P and q retained separately.
IL8,GBS versus ALS,Discovery,1.61,0.342,0.0022,0.0159,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.9396923172873015,2.2803076827126985,Normal approximation from printed SE. Source P and q retained separately.
IL8,CIDP versus HC,Replication,1.13,0.181,0.0004,0.0081,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.7752465187982501,1.4847534812017495,Normal approximation from printed SE. Source P and q retained separately.
IL8,CIDP versus NIP,Replication,2.08,0.93,0.0759,0.406,6,4,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.25723349437774967,3.9027665056222505,Normal approximation from printed SE. Source P and q retained separately.
ITGAM,GBS versus CIDP,Replication,1.19,0.26,0.0026,0.0291,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.6804093640195858,1.699590635980414,Normal approximation from printed SE. Source P and q retained separately.
IL2RA,GBS versus CIDP,Replication,1.58,0.427,0.0077,0.0364,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.743095378601397,2.4169046213986034,Normal approximation from printed SE. Source P and q retained separately.
IL6,GBS versus CIDP,Replication,1.33,0.315,0.0039,0.0291,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.7126113448698831,1.947388655130117,Normal approximation from printed SE. Source P and q retained separately.
NRP1,GBS versus CIDP,Replication,0.387,0.114,0.0116,0.0441,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.16356410576243385,0.6104358942375662,Normal approximation from printed SE. Source P and q retained separately.
SELE,GBS versus CIDP,Replication,1.91,0.785,0.0455,0.108,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.37142827213605734,3.4485717278639427,Normal approximation from printed SE. Source P and q retained separately.
THBD,GBS versus CIDP,Replication,1.09,0.481,0.0577,0.11,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1472573234362341,2.032742676563766,Normal approximation from printed SE. Source P and q retained separately.
CD40,GBS versus CIDP,Replication,0.519,0.183,0.0254,0.0804,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1603265908291701,0.8776734091708299,Normal approximation from printed SE. Source P and q retained separately.
CR2,GBS versus CIDP,Replication,1.56,0.669,0.0527,0.11,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.24878409434270377,2.871215905657296,Normal approximation from printed SE. Source P and q retained separately.
CD28,GBS versus CIDP,Replication,0.557,0.26,0.0693,0.12,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.04740936401958595,1.0665906359804143,Normal approximation from printed SE. Source P and q retained separately.
MMP3,CIDP versus HC,Replication,0.57,0.238,0.0477,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.10352857167946711,1.0364714283205327,Normal approximation from printed SE. Source P and q retained separately.
THBD,CIDP versus HC,Replication,1.04,0.397,0.0341,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.26189429813759857,1.8181057018624016,Normal approximation from printed SE. Source P and q retained separately.
IL2RA,CIDP versus HC,Replication,1.16,0.458,0.0387,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.26233649508065515,2.057663504919345,Normal approximation from printed SE. Source P and q retained separately.
CR2,CIDP versus HC,Replication,0.893,0.493,0.113,0.315,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.07326224437824658,1.8592622443782467,Normal approximation from printed SE. Source P and q retained separately.
CD1C,CIDP versus HC,Replication,0.765,0.303,0.0396,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.17113091268436365,1.3588690873156364,Normal approximation from printed SE. Source P and q retained separately.
