sheet,figure,panel,rows,csv,data_level,unit,upstream_file,source_url,notes
F4B_Module_contrasts,Figure 4,B,48,F4B_Module_contrasts.csv,Aggregate analysis estimate,Mean module z-score difference,legacy_reference/analysis_update/source_data/CIDP_module_effects.csv; followup_20260921/results/nerve_multiplicity_91.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Diamonds use BH within cell group (eight modules). Expanded q91 supplied separately.
F4C_Cell_fractions,Figure 4,C,12,F4C_Cell_fractions.csv,Aggregate analysis estimate,"Fraction difference, CIDP minus CIAP",legacy_reference/analysis_update/source_data/CIDP_cell_fractions.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Relative representation among sampled nuclei; not absolute tissue cell abundance.
F4D_Fc_models,Figure 4,D,3,F4D_Fc_models.csv,Aggregate analysis estimate,Mean module z-score difference,legacy_reference/strengthening_v41/results/fc_sensitivity.csv; legacy_reference/strengthening_v41/results/fc_composition_adjustment.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,HC3 intervals. Adjustment for state composition attenuates the association.
F5A_Endothelial,Figure 5,A,6,F5A_Endothelial.csv,Aggregate analysis estimate,Mean programme z-score difference,results/nerve_program_contrasts.csv; results/nerve_program_adjusted.csv; followup_20260921/results/nerve_multiplicity_91.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Unadjusted primary P: Mann–Whitney. Display intervals: HC3. Adjusted P/q: HC3 family of nine. q89 is historical; q91 is the current expanded family.
F5B_Schwann,Figure 5,B,12,F5B_Schwann.csv,Aggregate analysis estimate,Mean programme z-score difference,results/nerve_program_contrasts.csv; results/nerve_program_adjusted.csv; followup_20260921/results/nerve_multiplicity_91.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Unadjusted primary P: Mann–Whitney. Display intervals: HC3. Adjusted P/q: HC3 family of nine. q89 is historical; q91 is the current expanded family.
F5C_Myelin_points,Figure 5,C,9,F5C_Myelin_points.csv,Anonymous donor-level plot value,Programme z-score; INCAT disability score,source_data/nerve_clinical_plot_data.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Nine CIDP donors in pooled repair/damage Schwann cells. Row order does not identify or link donors across programmes.
F5D_Injury_points,Figure 5,D,9,F5D_Injury_points.csv,Anonymous donor-level plot value,Programme z-score; INCAT disability score,source_data/nerve_clinical_plot_data.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Nine CIDP donors in pooled repair/damage Schwann cells. Row order does not identify or link donors across programmes.
F5CD_Clinical_statistics,Figure 5,C and D,2,F5CD_Clinical_statistics.csv,Aggregate analysis estimate,Spearman rho; P and q,results/nerve_clinical_correlations.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Exact P enumerates all 9! assignments. Expanded q17 combines 15 original asymptotic P values with two new exact P values.
S1_Bootstrap_expression,Supplementary Figure 1,All,60,S1_Bootstrap_expression.csv,Aggregate analysis estimate,Mean donor log2(CP10k + 1); percent expressing,original_analysis/results/tables/genetic_cell_localization_bootstrap.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Donor-bootstrap expression intervals in 15 cell groups for four genes. Per-nucleus workflow without module eligibility threshold.
S2_Complement_count,Supplementary Figure 2,Proportion,1,S2_Complement_count.csv,Published count,Proportion (0 to 1); displayed as percent,original_analysis/results/tables/cidp_external_nerve_validation.csv,https://doi.org/10.1007/s00401-025-02936-w,Published count; Wilson 95% interval. No individual biopsy observations are reconstructed.
S2_Tissue_observations,Supplementary Figure 2,Text,4,S2_Tissue_observations.csv,Published observations,Published observations,original_analysis/results/tables/cidp_external_nerve_validation.csv,https://doi.org/10.1007/s00401-025-02936-w,"Different endpoints from macrophage Fc expression; biological context, not replication of the Fc association."
S3A_Fc_genes,Supplementary Figure 3,A,11,S3A_Fc_genes.csv,Aggregate analysis estimate,Difference in mean log2(CPM + 0.5),legacy_reference/strengthening_v41/results/fc_component_genes.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,HC3 intervals; q across eleven available genes.
S3B_Fc_sensitivity,Supplementary Figure 3,B,6,S3B_Fc_sensitivity.csv,Aggregate analysis estimate,Mean module z-score difference,legacy_reference/strengthening_v41/results/fc_sensitivity.csv; legacy_reference/strengthening_v41/results/fc_composition_adjustment.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Six prespecified displayed rows; donor/model sensitivities within the same cohort.
S4_Fc_annotations,Supplementary Figure 4,All,12,S4_Fc_annotations.csv,Aggregate analysis estimate,Mean module z-score difference,legacy_reference/strengthening_v41/results/fc_annotation_sensitivity.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Three broad definitions and nine eligible refined subtypes; donor counts vary by annotation.
S5A_Gene_localisation,Supplementary Figure 5,A,40,S5A_Gene_localisation.csv,Aggregate analysis estimate,Mean donor log2(CP10k + 1); percent expressing,legacy_reference/analysis_update/source_data/Figure_5B_donor_mean_expression_and_detection.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Dot colour = expression; area = 5 × percent. Zero detection is shown by a cross.
S5B_Genetic_evidence,Supplementary Figure 5,B,4,S5B_Genetic_evidence.csv,Published association estimate,Odds ratio; MR beta; posterior probability,legacy_reference/analysis_update/source_data/CIDP_genetic_evidence.csv,https://doi.org/10.1016/j.xhgg.2024.100317,"CDH4 association in women. MR estimates are copied from authoritative input rows, including GNG7 −2.11 and SLC39A3 −1.42."
S5C_Gene_contrasts,Supplementary Figure 5,C,40,S5C_Gene_contrasts.csv,Aggregate analysis estimate,Mean log2(CP10k + 1) difference,legacy_reference/analysis_update/source_data/Figure_5D_genetic_expression_contrasts.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,CIDP minus CIAP in ten cell groups; no displayed contrast passes correction.
S6_Clinical_correlations,Supplementary Figure 6,All,15,S6_Clinical_correlations.csv,Aggregate analysis estimate,Spearman rho,legacy_reference/analysis_update/source_data/CIDP_clinical.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Original 15 asymptotic correlations and BH15; all q > 0.05.
S7_Normal_BNB_expression,Supplementary Figure 7,All,66,S7_Normal_BNB_expression.csv,Published expression value,FPKM; plotted log2(FPKM + 1),results/BNB_normal_reference_expression.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107574,Eleven genes × six preparations. Normal anatomical reference; no disease comparison.
Support_q91,Supporting data,Multiplicity,91,Support_q91.csv,Aggregate analysis estimate,P; Benjamini–Hochberg q,followup_20260921/results/nerve_multiplicity_91.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,80 original module tests + 9 programme extensions + 2 graft-reference contrasts.
Support_gene_coverage,Supporting data,Programmes,47,Support_gene_coverage.csv,Aggregate analysis estimate,Gene availability and standardisation,results/nerve_gene_coverage.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,"Measured, variable genes used in each programme; missing genes are not imputed."
Public_input_manifest,Supporting data,Primary inputs,23,Public_input_manifest.csv,Primary input manifest,"Files, URLs and SHA256",source_data/public_input_manifest.csv,,Public sequencing/count and normal BNB sources. Download separately for reanalysis.
